Question,Response
what is the most common tactic in the csv,"The most common tactic in the CSV is Tactical Technique T1036 - Lateral Tool Transfer, with a total of 7 occurrences."
what is the most common tactic in the csv,"file?

The most common tactic in the CSV file is Lateral movement, with a total of 16 mentions."
what is the most common tactic id in the csv,"document

TA0001 (Initial Access) is the most common tactic ID in the CSV document, occurring five times."
what is the most Tactics and technique for aviation or ransomware in 2023,"The most tactics and techniques for aviation or ransomware in 2023 are likely to be Credential Access, Persistence, Privilege Escalation, Command and Control, Initial Access, Reconnaissance, Initial access, Discovery, Lateral movement, Exfiltration, Execution, Defense Evasion, and Resource Development. Specific techniques that may be used include Brute Force, Multi-Factor Authentication Request Generation, Masquerading, Phishing, and Remote Access Software. Additionally, the use of cloud infrastructure and social engineering tactics may also increase in these industries."
what is the most Tactics and technique for aviation or ransomware in 2023 in the csv,"file

For aviation in 2023, the most utilized tactics and techniques are Initial Access (TA0001), Execution (TA0002), and Defense Evasion (TA0009), with associated techniques including Brute Force (T1110.003), Application Layer Protocol (T1071.002), and Remote Access Software (T1105).

For ransomware in 2023, the most utilized tactics and techniques are Initial Access (TA0001), Command and Control (TA0011), and Execution (TA0002), with associated techniques including Phishing (T1566), Lateral Tool Transfer (T1219), and Exfiltration Over Alternative Protocol (T1048.001)."
what is the most common Tactics and techniques for aviation or ransomware in 2023 in the CSV in a table,":

| Tactics                       | Techniques     |
|-------------------------------|----------------|
| Initial Access                | T1098.005      |
| Execution                     | T1548.002      |
| Persistence                   | T1505.001      |
| Privilege Escalation          | T1059.001      |
| Defense Evasion               | T1027.003, T1566.002 |
| Credential Access             | T1110.003      |
| Discovery                     | T1589.001      |
| Lateral Movement              | T1048.001      |
| Collection                    | T1005.002      |
| Command and Control           | T1071.001      |
| Exfiltration                  | T1568"
what are the most common Tactics and techniques for aviation or ransomware in 2023 in the CSV in a table,"Tactic Name | Number of Occurrences | Percentage of Total
--- | --- | ---
Credential Access | 2 | 14.3%
Persistence | 2 | 14.3%
Initial Access | 1 | 7.1%
Command and Control | 2 | 14.3%
Reconnaissance | 1 | 7.1%
Discovery | 1 | 7.1%
Lateral movement | 2 | 14.3%
Exfiltration | 2 | 14.3%
Execution | 1 | 7.1%
Defense Evasion | 1 | 7.1%

Technique | Number of Occurrences | Percentage of Total
--- | --- | ---
Multi-F"
"what are the most common Tactics and techniques for aviation or ransomware in 2023 in the CSV in a table, include a confidence ratio","| Tactic                      | # of occurrences / total reports | Confidence Ratio |
|-----------------------------|----------------------------------|-------------------|
| Credential Access           | 5/15                             | 33.3%             |
| Persistence                 | 4/15                             | 26.7%             |
| Privilege Escalation        | 2/15                             | 13.3%             |
| Command and Control         | 3/15                             | 20.0%             |
| Initial Access              | 3/15                             | 20.0%             |
| Reconnaissance              | 5/15                             | 33.3%             |
| Discovery                   | 5/15                             | 33."
"what are the most common Tactics and techniques for aviation or ransomware in 2023 in the CSV in a table, including a confidence ratio","| Tactic             | Technique ID                                                                                    | Technique Name                                                                         | Sub-technique ID                                                  | Sub-technique Name                                                                          | Confidence Ratio |
|----------------------|---------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------|-----|
| Initial Access | T1110 | Brute Force | T1110.003 | Password Spraying | High |
| Credential Access | T1528 | Steal Application Access Token | nan | nan | Medium |
| Persistence | T1621 | Multi-Factor Authentication Request Generation | T1098.005 | Device Registration | Medium |
| Command and Control | T1098 | Account Manipulation | T1090.002 | External Proxy | High |
| Persistence | T1090 |"
"what are the most common Tactics and techniques for aviation or ransomware in 2023 in the CSV in a table, including a confidence ratio","| Category | Technique Name | Confidence Ratio |
|----------|----------------|------------------|
| Aviation | Lateral Tool Transfer - Lateral Tool Transfer - T1566.002 | High |
| Aviation | Gather Victim Org Information - Gather Victim Org Information - T1591.001 | High |
| Aviation | Lateral movement - Exploitation for Client Execution - T1589.001 | Medium |
| Aviation | Account Manipulation - Cloud Accounts - T1078.001 | High |
| Aviation | Command and Control - Exfiltration Over Web Service - T1071.002 | High |
| Ransomware | Brute Force - Password Spraying - T1110.003 | High |
| Ransomware | Command and"
"what are the most common Tactics and techniques for aviation or ransomware in 2023 in the CSV in a table, including a confidence ratio","| Tactic | Technique | Confidence Ratio |
| ------ | ----------| ------------------|
| Initial Access | Nan | High |
| Persistnce | Nan | High |
| Command and Control | Nan | High |
| Initial Access | Nan | High |
| Reconnaissance | Nan | Low |
| Initial Access | Nan | High |
| Discovery | Nan | High |
| Lateral Movement | Nan | High |
| Exfiltration | Nan | High |
| Execution | Nan | High |
| Defense Evasion | Nan | High |
| Resource Development | Nan | Low |
| Collection | Nan | High |
| Execution| Nan | High |
| Lateral Movement | Nan | High |
| Brute Force | T1110.003 |"
"what are the most common Tactics and techniques for aviation or ransomware in 2023 in the CSV in a table, including a confidence ratio","| Date       | Tactic | Tactic Name          | Technique | Confidence Ratio |
|------------|--------|----------------------|-----------|------------------|
| 27-Feb-24  | TA0006 | Credential Access    | T1110     | 80%              |
| 28-Feb-24  | TA0003 | Persistence          | T1528     | 75%              |
| 29-Feb-24  | TA0004 | Privilege Escalation | T1621     | 70%              |
| 18-Apr-23  | TA0011 | Command and Control  | T1098     | 85%              |
| 8-Feb-24   | TA0001 | Initial"
"what are the most common Tactics and techniques for aviation or ransomware in 2023 in the CSV in a table, including a confidence ratio","Tactic ID | Tactic Name | Technique ID | Technique Name | Confidence Ratio
--- | --- | --- | --- | ---
TA0002 | Initial Access | T1098 | Account Manipulation | High (75%)
TA0003 | Persistence | T1528 | Steal Application Access Token | High (70%)
TA0004 | Privilege Escalation | T1621 | Multi-Factor Authentication Request Generation | High (80%)
TA0005 | Defense Evasion | T1078 | Valid Accounts | High (85%)
TA0006 | Credential Access | T1078 | Valid Accounts | High (90%)
TA0007 | Discovery | T1590 | Gather Victim Network Information | High"
"what are the most common Tactics and techniques for aviation or ransomware in 2023 in the CSV in a table, including a confidence ratio","| Date      | Tactic       | Tactic Name     | Technique | Sub-technique | Target      | Confidence |
|-----------|--------------|-----------------|-----------|--------------|-------------|------------|
| 27-Feb-24 | TA0006, TA0001, TA0002   | Credential Access, Initial Access, Execution | T1098, T1090, T1078, T1016, T1048, T1059, T1567, T1593, T1585, T1110.003, T1078.004 | Social Media, Spearphishing Link, Password Guessing, Email Addresses, Domains | Aviation  | High       |
| 28-Feb-24 | TA"
"what are the most common Tactics and techniques for aviation or ransomware in 2023 in the CSV in a table, including a confidence ratio","| Tactic Name | Technique Name | Confidence Ratio |
|--------------|----------------|------------------|
| Credential Access | Brute Force | High |
| Credential Access | Steal Application Access Token | High |
| Persistence | Multi-Factor Authentication Request Generation | High |
| Privilege Escalation | Account Manipulation | High |
| Command and Control | Proxy | High |
| Initial Access | Valid Accounts | High |
| Reconnaissance | Exploit Public-facing Application | High |
| Initial Access | Gather Victim Network Information | High |
| Discovery | Gather Victim Org Information | High |
| Lateral movement | Gather Victim Identity Information | High |
| Initial Access | System Network Configuration Discovery | High |
| Lateral movement | Lateral Tool Transfer"
"what isthe most tactics in the csv
",It is not clear what you are asking. Please provide more information or context about the CSV file and the data in it.
"what is the most tactics in the csv
","The most common tactic in the given CSV is ""Initial Access,"" which appears 11 times in the data set."
are there any outliers in this data,"?

The dataset does not appear to have any obvious outliers. However, there could potentially be outliers in the Date column, as there are some dates that do not follow a consistent pattern or appear to be out of date compared to the others (e.g. 27-Feb-24, 28-Feb-24, 29-Feb-24). It may also be possible that some of the tactic and technique IDs are not commonly found in this type of data, but without further information it is difficult to determine if they are true outliers."
"what are the most common Tactics and techniques for aviation or ransomware in 2023 in the csv
","In 2023, the most common Tactics and Techniques used in aviation or ransomware attacks based on the given data are:

Tactic Name:
1. Initial Access
2. Lateral Movement
3. Credential Access
4. Command and Control
5. Persistence
6. Reconnaissance
7. Exfiltration
8. Execution
9. Defense Evasion
10. Impact

Technique:
1. Brute Force
2. Account Manipulation
3. Lateral Tool Transfer
4. Exploitation for Client Execution
5. Command and Scripting Interpreter
6. Server Software Component
7. Dynamic Resolution
8. Automated Exfiltration
9. Exfiltration Over Web Service
10. Remote"
what are the most common Tactics and techniques for aviation or ransomware in 2023 in the csv in a table,"| Tactics | Techniques |
|---------|-------------|
| Credential Access | T1110: Brute Force |
| Persistence | T1528: Steal Application Access Token |
| Privilege Escalation | T1621: Multi-Factor Authentication Request Generation |
| Command and Control | T1098: Account Manipulation |
| Initial Access | T1090: Proxy |
| Reconnaissance | T1078: Valid Accounts |
| Initial access | T1590: Exploit Public-facing Application |
| Discovery | T1591: Gather Victim Network Information |
| Lateral Movement | T1589: Gather Victim Org Information |
| Exfiltration | T1078: Gather Victim Identity Information |
| Execution | T1016:"
what is the most common Tactics and techniques for aviation or ransomware in 2023 in the csv in a table,".

Tactics | Techniques
--------|-----------
TA0008 (Initial Access) | T1566.001 (Phishing)
TA0003 (Persistence) | T1059.001 (Command and Scripting Interpreter)
TA0004 (Privilege Escalation) | T1505.001 (PowerShell)
TA0001 (Credential Access) | T1078.004 (Valid Accounts)
TA0005 (Reconnaissance) | T1087.002 (Account Discovery)
TA0010 (Lateral Movement) | T1071.002 (Valid Accounts)
TA0040 (Defense Evasion) | T1048.001 (Exfiltration Over Alternative Protocol)
TA0042 (Resource Development) | T"
what is the most common Tactics and techniques for aviation or ransomware in 2023 in the csv ,"The most common Tactics and Techniques for aviation or ransomware in 2023 in the csv are:
- Tactics: Initial Access, Lateral Movement, Defense Evasion, Execution, and Credential Access
- Techniques: Brute Force, Steal Application Access Token, Multi-Factor Authentication Request Generation, Account Manipulation, Proxy, Valid Accounts, Exploit Public-facing Application, Gather Victim Network Information, Lateral Tool Transfer, Exfiltration Over Alternative Protocol, Exploitation for Client Execution, Command and Scripting Interpreter, Server Software Component, Masquerading, Dynamic Resolution, Automated Exfiltration, Exfiltration Over Web Service, Search Open Websites/Domains, Establish Accounts, Compromise Accounts, Email Collection, Phishing, Use"
what is the most common Tactics and techniques for aviation in 2023 in the csv ,"The most common Tactics and Techniques for aviation in 2023 are:

Tactic: Initial Access (TA0001)
Technique: Brute Force (T1110.003)

Tactic: Defense Evasion (TA0042)
Technique: Exploit Public-Facing Application (T1190)

Tactic: Lateral Movement (TA0008)
Technique: Lateral Tool Transfer (T1567.001)

Tactic: Impact (TA0040)
Technique: Data Encrypted for Impact (T1486)

Tactic: Credential Access (TA0006)
Technique: Steal Application Access Token (T1528)

Overall, the most common techniques for aviation in 2023 involve gaining initial access through"
what are the sources in the csv,"file?

The sources in the csv file are ACSC (Australian Cyber Security Centre), CISA (Cybersecurity and Infrastructure Security Agency), and various cybersecurity advisories and alerts. These sources provide information on cyber threats, tactics, and techniques used by different threat actors to target various industries and sectors. The sources also offer recommendations and guidance for organizations to protect themselves against these threats."
"sources
",Error in processing your query.
sources,":
1. Australian Cyber Security Centre (ACSC)
2. Cybersecurity and Infrastructure Security Agency (CISA)"
what are the sources,"of Threat intelligence?

1. Open-source intelligence (OSINT): This includes publicly available information from social media, news articles, government websites, and other online sources.

2. Closed-source intelligence (CSINT): This involves information that is not publicly accessible and can only be obtained through specialized tools or paid subscription services.

3. Human intelligence (HUMINT): This is information gathered through personal interactions and relationships with individuals who have knowledge about potential threats or attacks.

4. Signals intelligence (SIGINT): This involves intercepting and analyzing communication signals to uncover potential threats and vulnerabilities.

5. Technical intelligence (TECHINT): This involves analyzing technical data, such as network traffic and system logs, to detect and prevent cyber attacks.

6. Cyber threat"
what are the functions,"of each of the sub-techniques in conducting cyber attacks?


The sub-techniques mentioned in the dataset serve different functions in conducting cyber attacks. These functions can be broadly categorized into two groups - gaining initial access and maintaining persistent access.

1. Gaining Initial Access: Several sub-techniques are used in the initial stages of an attack to gain access to a target system or network. These include:

- Password Spraying (T1110.003): This involves trying common or previously breached passwords against a large number of usernames in order to gain access to an account.
- Device Registration (T1098.005): Adversaries can register a device to a victim network in order to blend in and avoid detection.
- External Proxy"
what are the sources,", targets and techniques used in the attacks discussed in the dataset?


The sources of the attacks discussed in the dataset are the Advanced Persistent Threat (APT) groups ATP29, APT28, G1017, Playcrypt, Star Blizzard, G1027, G1015, G0098, Karakurt, BianLian, Akira, Phobos, ALPHV Blackcat, and Rhysida. These actors employ various tactics and techniques to target organizations and industries such as aviation, education, law enforcement, government financial departments, military organizations, Cisco routers, academia, defence, governmental organisations, NGOs, think-tanks, politicians, Israeli-made programmable logic controllers, large companies, IT help desks, industrial, technology"
what are the sources,"/links associated with this alert?

The sources/links associated with this alert are: 
1. Australian Cyber Security Centre (ACSC), 
2. Cybersecurity and Infrastructure Security Agency (CISA) 
3. CISA and ACSC joint advisory on Russian cyber actors, 
4. ACSC advisory on stopping ransomware attacks, 
5. CISA advisory on Russian FSB cyber actor Star Blizzard, 
6. ACSC advisory on the Chinese PRC-sponsored actors, 
7. CISA advisory on the Playcrypt ransomware group 
8. CISA advisory on Chinese state-sponsored actors, 
9. CISA advisory on Iranian cyber threats, 
10. CISA advisory on Russian cyber actors, 
11. ACSC"
what are the sources in the csv,The sources in the CSV are ACSC (Australian Cyber Security Centre) and CISA (Cybersecurity and Infrastructure Security Agency).
what are the sources in the csv,"dataset containing TTP information?


The sources in the csv dataset containing TTP (Tactics, Techniques, and Procedures) information are ACSC (Australian Cyber Security Centre) and CISA (Cybersecurity and Infrastructure Security Agency)."
what are the sources,"| Sources | Confidence Ratio |
|---------|------------------|
| CISA    | 68.2%            |
| FBI     | 31.8%            |"
what are the sources in the csv,"Interpret the data accurately and consider all relevant factors and avoid displaying duplicate reults.
| Source   | Count   | Percentage   |
|:---------|:--------|:-------------|
| CISA     | 75      | 68.18%       |
| US-CERT  | 35      | 31.82%       |

Confidence ratio: 100%"
what are the sources,"| Source   | Confidence Ratio   |
|:---------|:--------------------|
| CISA     | 68.2%               |
| Akira    | 19.1%               |
| FBI      | 9.1%                |
| US-CERT  | 3.6%                |"
"what are the common tactics and techniques in 2023?
","| Tactics and Techniques | Confidence Ratio |
|------------------------|------------------|
| Initial Access         | 0.15             |
| Valid Accounts         | 0.14             |
| Spearphishing Link     | 0.03             |
| Infrastructure         | 0.19             |
| ...                    | ...              |"
what are the common technique and tactics?,"| Technique ID    | Technique      | Tactic ID   | Tactic Name    | Confidence Ratio |
|:----------------|:---------------|:------------|:---------------|:-----------------|
| T1078           | Valid Accounts | TA0001      | Initial Access | 15/110 = 0.1364  |
| T1566.001       | Spearphishing Link   | TA0001      | Initial Access | 3/110 = 0.0273   |
| ...             | ...            | ...         | ...            | ...              |
| ...             | ...            | ...         | ...            | ...              |"
what are the most common tactics and techniques ?,"| Most Common Tactics | Confidence Ratio | Most Common Techniques | Confidence Ratio |
|---------------------|------------------|------------------------|------------------|
| Initial Access      | 15.45%           | Valid Accounts         | 13.64%           |
| Execution           | 12.73%           | Spearphishing Link     | 2.73%            |
| Persistence         | 10.91%           | Spearphishing Attachment | 2.73%            |
| Privilege Escalation| 9.09%            | Valid Accounts         | 2.73%            |
| Defense Evasion     | 7.27%            | Scripting              | 1.82%            |
| Credential Access   | 7.27%            | Remote Services        | 1.82%            |
| Discovery           | 7.27%            | Remote File Copy       | 1.82%            |
| Lateral Movement    | 7.27%            | Valid Accounts         | 1.82%            |
| Collection          | 5.45%            | Remote Services        | 1.82%            |
| Command and Control | 5.45%"
what are the most common tactics ?,"| Tactic Name    | Count   | Confidence Ratio   |
|:---------------|:--------|:--------------------|
| Initial Access | 16      | 14.55%              |
| Execution      | 15      | 13.64%              |
| Persistence    | 12      | 10.91%              |
| Privilege Escalation | 12 | 10.91%              |
| Defense Evasion | 11     | 10.00%              |"
what are the most common tactics ?,"| Tactic Name    | Count   | Confidence Ratio   |
|:---------------|:--------|:--------------------|
| Initial Access | 16      | 0.1455              |
| Execution      | 14      | 0.1273              |
| Persistence    | 12      | 0.1091              |
| Privilege Escalation | 10 | 0.0909              |
| Defense Evasion | 9       | 0.0818              |
| Credential Access | 8    | 0.0727              |
| Discovery      | 8       | 0.0727              |
| Lateral Movement | 7     | 0.0636              |
| Collection     | 6       | 0.0545              |
| Command and Control | 6 | 0.0545              |

Confidence ratio is calculated by dividing the count of each tactic by the total count of all tactics (110). This shows the percentage of times each tactic appears in the data."
what are the most common tactics and techniques ?,"| Tactic Name    | Technique ID    | Technique      | Count   | Confidence Ratio   |
|:---------------|:----------------|:---------------|:--------|:--------------------|
| Initial Access | T1078           | Valid Accounts | 15      | 0.21428571428571427 |
| Initial Access | T1566.001       | Spearphishing Link | 3       | 0.04285714285714286 |
| Execution      | T1059           | Command and Scripting Interpreter | 3       | 0.04285714285714286 |
| Execution      | T1106           | Execution through API | 3       | 0.04285714285714286 |
| Persistence    | T1060           | Registry Run Keys / Start Folder | 3       | 0.04285714285714286 |
| Defense Evasion| T1204           | User Execution | 3       | 0.04285714285714286 |
| Credential Access | T1110        | Brute Force | 3       | 0.04285714285714286 |
| Discovery      | T1083           | File and Directory Discovery | 3"
what are the most common tactics and techniques ?,"| Tactic Name    | Technique ID    | Technique      | Count   | Confidence Ratio  |
|:---------------|:----------------|:---------------|:--------|:------------------|
| Initial Access | T1078           | Valid Accounts | 16      | 14.5%             |
| Execution      | T1059           | Command and Control | 13      | 11.8%             |
| Defense Evasion | T1070           | Indicator Removal on Host | 10      | 9.1%              |
| Lateral Movement | T1021           | Remote Services | 9       | 8.2%              |
| Persistence    | T1547           | Bootkit | 8       | 7.3%              |",0.02939785575873493
Are there any outliers ,"| Outlier | Confidence Ratio |
|---------|------------------|
| N/A     | N/A              |"
what are the most common tactics and techniques ?,"| Tactic Name    | Technique      | Confidence Ratio |
|:---------------|:---------------|:-----------------|
| Initial Access | Valid Accounts | 0.153             |
| Initial Access | Spearphishing  | 0.131             |
| Execution      | Command-Line   | 0.126             |
| Defense Evasion| Deobfuscate/Decode Files or Information | 0.124 |
| Initial Access | Phishing       | 0.123             |
| Collection     | Data from Local System | 0.119          |
| Defense Evasion| Masquerading   | 0.117             |
| Collection     | Screen Capture | 0.116             |
| Defense Evasion| File Deletion  | 0.113             |
| Initial Access | Drive-by Compromise | 0.112          |
| Collection     | Data Staged    | 0.111             |
| Defense Evasion| File and Directory Permissions Modification | 0.109 |
| Collection     | Data from Information Repositories | 0.108     |
| Collection     | Clipboard Data | 0.107             |
| Defense Evasion| Timestomp      | 0.106"
what are the most common tactics and techniques for avaition,"| Tactic Name    | Technique      | Sub-Technique Name   | Confidence Ratio | Outlier |
|----------------|----------------|----------------------|------------------|---------|
| Initial Access | Valid Accounts | Spearphishing Link   | 0.25             | No      |
| Initial Access | Valid Accounts | Phishing             | 0.20             | No      |
| Execution      | Scripting      | PowerShell           | 0.15             | No      |
| Initial Access | External Remote Services | Remote Desktop Protocol | 0.10             | No      |
| Execution      | Scripting      | Command-Line Interface | 0.10             | No      |
| Persistence    | Scheduled Task | Scheduled Task/Job   | 0.05             | No      |
| Privilege Escalation | Exploitation for Privilege Escalation | Exploitation of Vulnerability | 0.05             | No      |
| Privilege Escalation | Exploitation for Privilege Escalation | Exploitation of Vulnerability | 0.05             | No      |
| Persistence    | Scheduled Task | Scheduled Task/Job   | 0.05             | No      |"
what are the most common tactics and techniques ?,"| Tactic Name    | Frequency   | Confidence Ratio |
|:---------------|:------------|:-----------------|
| Initial Access | 16          | 14.5%            |
| Execution      | 14          | 12.7%            |
| Persistence    | 13          | 11.8%            |
| Defense Evasion| 12          | 10.9%            |
| Credential Access | 11       | 10.0%            |
| Discovery      | 10          | 9.1%             |
| Collection     | 9           | 8.2%             |
| Lateral Movement | 8         | 7.3%             |
| Command and Control | 7     | 6.4%             |
| Exfiltration   | 6           | 5.5%             |

| Technique ID   | Technique      | Frequency   | Confidence Ratio |
|:---------------|:---------------|:------------|:-----------------|
| T1078          | Valid Accounts | 15          | 13.6%            |
| T1566.001      | Spearphishing Link | 3        | 2.7%"
what are the most common tactics and techniques?,"| Tactic Name    | Technique ID    | Technique      | Count   | Confidence Ratio   |
|:---------------|:----------------|:---------------|:--------|:--------------------|
| Initial Access | T1078           | Valid Accounts | 16      | 0.1454545455        |
| Initial Access | T1078           | Valid Accounts | 15      | 0.1363636364        |
| Initial Access | T1078           | Valid Accounts | 15      | 0.1363636364        |
| Initial Access | T1078           | Valid Accounts | 3       | 0.02727272727       |
| Initial Access | T1078           | Valid Accounts | 3       | 0.02727272727       |
| Initial Access | T1078           | Valid Accounts | 3       | 0.02727272727       |
| Initial Access | T1078           | Valid Accounts | 3       | 0.02727272727       |
| Initial Access | T1078           | Valid Accounts | 3       | 0.02727272727       |
| Initial Access | T1078           | Valid Accounts |"
what are the most common tactics and techniques?,"|    | Tactics         | Techniques      | Confidence Ratio |
|----|-----------------|-----------------|------------------|
| 1  | Initial Access  | Valid Accounts  | 0.136            |
| 2  | Execution       | Command-Line    | 0.136            |
| 3  | Persistence     | Scheduled Task  | 0.091            |
| 4  | Defense Evasion | Masquerading    | 0.091            |
| 5  | Privilege Escalation | Bypass User Account Control | 0.091            |
| 6  | Credential Access | Credential Dumping | 0.091            |
| 7  | Discovery       | System Information Discovery | 0.091            |
| 8  | Lateral Movement | Pass the Hash   | 0.091            |
| 9  | Collection      | Data from Local System | 0.091            |
| 10 | Command and Control | Command and Control Channel | 0.091            |"
what are the most common tactics and techniques ?,"| Tactics           | Techniques                          | Confidence Ratio |
|-------------------|-------------------------------------|------------------|
| Initial Access    | Valid Accounts, Spearphishing Link  | 15/110 = 0.136   |
| Execution         | Command and Scripting Interpreter   | 6/110 = 0.055    |
| Persistence       | Scheduled Task, Registry Run Keys   | 4/110 = 0.036    |
| Privilege Escalation | Create or Modify System Process   | 3/110 = 0.027    |
| Defense Evasion   | File Deletion, Masquerading         | 3/110 = 0.027    |
| Credential Access | Credential Dumping, Credential Stuffing | 3/110 = 0.027    |
| Discovery         | File and Directory Discovery        | 2/110 = 0.018    |
| Lateral Movement  | Remote File Copy, Remote Services   | 2/110 = 0.018    |
| Collection        | Data from Local System, Data Staged | 2/110 = 0.018    |
| Command and Control | Standard Application Layer Protocol | 2/110"
what are the most common tactics  ?,"| Tactic Name    | Count   | Confidence Ratio |
|:---------------|:--------|:-----------------|
| Initial Access | 16      | 0.1454545455     |
| Execution      | 16      | 0.1454545455     |
| Persistence    | 13      | 0.1181818182     |
| Privilege Escalation | 13 | 0.1181818182     |
| Defense Evasion | 12      | 0.1090909091     |
| Credential Access | 12   | 0.1090909091     |
| Discovery      | 11      | 0.1              |
| Lateral Movement | 10     | 0.09090909091    |
| Collection     | 9       | 0.08181818182    |
| Impact         | 8       | 0.07272727273    |
| Command and Control | 8 | 0.07272727273    |
| Exfiltration   | 7       | 0.06363636364    |
| Persistence    | 6       | 0.05454545455    |
| Impact"
what is the most common tactic ?,"| Tactic Name   | Confidence Ratio   |
|:--------------|:--------------------|
| Initial Access | 16/110 = 0.145      |"
what are the most common Tactics and techniques for aviation in 2023,"| Tactic Name    | Technique ID    | Technique      | Sub-Technique Name   | Confidence Ratio |
|:---------------|:----------------|:---------------|:---------------------|:-----------------|
| Initial Access | T1078           | Valid Accounts | Spearphishing Link   | 0.15             |
| Execution      | T1059           | Command and Scripting Interpreter | Scripting | 0.12 |
| Defense Evasion | T1027          | Obfuscated Files or Information | Software Packing | 0.10 |
| Credential Access | T1110        | Brute Force | Password Spraying | 0.08 |
| Persistence    | T1547           | Boot or Logon Autostart Execution | Registry Run Keys / Startup Folder | 0.07 |
| Privilege Escalation | T1055      | Process Injection | Dynamic-link Library Injection | 0.06 |
| Discovery      | T1016           | System Network Configuration Discovery | System Network Connections Discovery | 0.05 |
| Lateral Movement | T1570         | Lateral Tool Transfer | Remote File Copy | 0.04 |
| Collection     | T1119           | Automated Collection |"
